source_id,venue,decision,display_name,issn_l,issns,publisher,source_type,is_oa,is_in_doaj,apc_usd,works_count,homepage_url,n_diamond,n_closed,n_green,n_hybrid,n_bronze,n_gold
S203465130,Chemosphere,filtered_slice_conditional,Chemosphere,0045-6535,0045-6535;1879-1298,Elsevier BV,journal,FALSE,FALSE,4010,50871,http://www.elsevier.com/locate/chemosphere,0,38899,3047,2297,878,48
S4210170078,Oncology Times,filtered_slice_conditional,Oncology Times,0276-2234,0276-2234;1548-4688,Wolters Kluwer,journal,FALSE,FALSE,NA,14327,http://www.oncology-times.com,0,14292,3,17,13,0
S13479253,Environmental Science & Technology,filtered_slice_conditional,Environmental Science & Technology,0013-936X,0013-936X;1520-5851,American Chemical Society,journal,FALSE,FALSE,4500,70425,http://pubs.acs.org/journals/esthag/,0,46138,4579,3800,2132,37
S145089992,Journal of Hazardous Materials,filtered_slice_conditional,Journal of Hazardous Materials,0304-3894,0304-3894;1873-3336,Elsevier BV,journal,FALSE,FALSE,4340,43198,https://www.journals.elsevier.com/journal-of-hazardous-materials,0,36565,1896,2157,418,27
S21442059,Bioresource Technology,filtered_slice_conditional,Bioresource Technology,0960-8524,0960-8524;1873-2976,Elsevier BV,journal,FALSE,FALSE,4880,35501,http://journals.elsevier.com/09608524/bioresource-technology/,0,30221,2072,1488,692,18
S158228368,Applied and Environmental Microbiology,filtered_slice_conditional,Applied and Environmental Microbiology,0099-2240,0099-2240;1070-6291;1098-5336,American Society for Microbiology,journal,TRUE,TRUE,NA,38566,http://aem.asm.org/,1122,4461,15572,1101,4954,28
S70979998,Applied Microbiology and Biotechnology,filtered_slice_conditional,Applied Microbiology and Biotechnology,0175-7598,0175-7598;1432-0614,Springer Science+Business Media,journal,TRUE,TRUE,4190,21824,https://www.springer.com/journal/253,0,13288,1018,1014,562,1150
S100045985,American Journal of Tropical Medicine and Hygiene,filtered_slice_conditional,American Journal of Tropical Medicine and Hygiene,0002-9637,0002-9637;1476-1645,American Society of Tropical Medicine and Hygiene,journal,FALSE,FALSE,NA,23907,http://www.ajtmh.org,0,6173,3748,1844,2540,5
S201530359,Environmental Pollution,filtered_slice_conditional,Environmental Pollution,0269-7491,0269-7491;1873-6424,Elsevier BV,journal,FALSE,FALSE,4090,29200,https://www.journals.elsevier.com/environmental-pollution,0,22020,2238,2361,643,43
S149937609,Chemical Engineering Journal,filtered_slice_conditional,Chemical Engineering Journal,1385-8947,1385-8947;1873-3212,Elsevier BV,journal,FALSE,FALSE,4830,78619,https://www.journals.elsevier.com/chemical-engineering-journal,0,69394,3215,4623,706,41
S119469986,Journal of Membrane Science,filtered_slice_conditional,Journal of Membrane Science,0376-7388,0376-7388;1873-3123,Elsevier BV,journal,FALSE,FALSE,4890,26976,http://www.elsevier.com/wps/find/journaldescription.cws_home/502692/description,0,20819,1588,670,425,10
S58516903,Journal of Cleaner Production,filtered_slice_conditional,Journal of Cleaner Production,0959-6526,0959-6526;1879-1786,Elsevier BV,journal,FALSE,FALSE,4660,50184,https://www.journals.elsevier.com/journal-of-cleaner-production,0,39715,4402,4854,790,85
S2484704948,Frontiers in Microbiology,filtered_slice_conditional,Frontiers in Microbiology,1664-302X,1664-302X,Frontiers Media,journal,TRUE,TRUE,3801,41537,http://www.frontiersin.org/microbiology,0,0,167,0,0,41274
S168522863,Cancer Research,filtered_slice_conditional,Cancer Research,0008-5472,0008-5472;1538-7445,American Association for Cancer Research,journal,FALSE,FALSE,NA,159074,http://cancerres.aacrjournals.org/,0,147669,3697,1175,5414,16
S200071133,Blood,filtered_slice_conditional,Blood,0006-4971,0006-4971;1528-0020,Elsevier BV,journal,FALSE,FALSE,5500,197310,https://www.sciencedirect.com/journal/blood,0,135260,6387,1240,26745,35
S134307298,Applied Catalysis B: Environmental,filtered_slice_conditional,Applied Catalysis B: Environmental,0926-3373,0926-3373;1873-3883,Elsevier BV,journal,FALSE,FALSE,5950,20007,https://www.journals.elsevier.com/applied-catalysis-b-environmental,0,16906,1380,764,442,24
S72684844,Journal of Animal Science,filtered_slice_conditional,Journal of Animal Science,0021-8812,0021-8812;1525-3015;1525-3163;1544-7847,Oxford University Press,journal,FALSE,FALSE,4368,48169,https://academic.oup.com/jas,0,16479,8774,1109,5141,32
S47215897,Antimicrobial Agents and Chemotherapy,filtered_slice_conditional,Antimicrobial Agents and Chemotherapy,0066-4804,0066-4804;1070-6283;1098-6596,American Society for Microbiology,journal,FALSE,FALSE,NA,33714,http://aac.asm.org/,0,2631,14473,2187,4360,12
S2738498342,EFSA Journal,filtered_slice_conditional,EFSA Journal,1831-4732,1831-4732,Wiley,journal,TRUE,TRUE,2400,9368,https://efsa.onlinelibrary.wiley.com/journal/18314732,0,0,30,0,0,9336
S25293849,The FASEB Journal,filtered_slice_conditional,The FASEB Journal,0892-6638,0892-6638;1530-6860,Wiley,journal,FALSE,FALSE,3740,139054,http://www.fasebj.org/,2,129383,3698,2461,1125,23
S10134376,Sustainability,filtered_slice_conditional,Sustainability,2071-1050,2071-1050,Multidisciplinary Digital Publishing Institute,journal,TRUE,FALSE,2896,108899,http://www.mdpi.com/journal/sustainability,0,0,58,0,0,108326
S202381698,PLoS ONE,filtered_slice_conditional,PLoS ONE,1932-6203,1932-6203,Public Library of Science,journal,TRUE,TRUE,2382,341388,http://www.plosone.org/,0,1,369,0,0,340281
S196734849,Scientific Reports,filtered_slice_conditional,Scientific Reports,2045-2322,2045-2322,Nature Portfolio,journal,TRUE,TRUE,2690,309685,http://www.nature.com/srep/index.html,0,0,0,0,0,309062
S15137598,Journal of Clinical Oncology,filtered_slice_conditional,Journal of Clinical Oncology,0732-183X,0732-183X;1527-7755,Lippincott Williams & Wilkins,journal,FALSE,FALSE,NA,174162,http://www.jco.org/,1,147119,3343,1195,18514,37
