work_id,doi,title,publication_year
W3080084833,https://doi.org/10.2166/wh.2020.220,"Variability of water, sanitation, and hygiene conditions and the potential infection risk following cesarean delivery in rural Rwanda",2020
W3044840189,https://doi.org/10.2166/wh.2020.162,"COVID-19: urgent actions, critical reflections and future relevance of ‘WaSH’: lessons for the current and future pandemics",2020
W3036253061,https://doi.org/10.2166/wh.2020.052,Water quality aspects related to domestic drinking water storage tanks and consideration in current standards and guidelines throughout the world – a review,2020
W2511007581,https://doi.org/10.2166/wh.2016.214,Fecal indicator and Ascaris removal from double pit latrine content,2016
W2097530346,https://doi.org/10.2166/wh.2007.139,Evaluation of the microbial risk reduction due to selective closure of the raw water intake before drinking water treatment,2007
W2268848052,https://doi.org/10.2166/wh.2016.247,"Measuring the willingness to pay for drinking water quality improvements: results of a contingent valuation survey in Songzi, China",2016
W155923359,https://doi.org/10.2166/wh.2005.037,The importance of domestic water quality management in the context of faecal–oral disease transmission,2005
W1492714154,https://doi.org/10.2166/wh.2003.0021,Use of viral pathogens and indicators to differentiate between human and non-human fecal contamination in a microbial source tracking comparison study,2003
W2330091894,https://doi.org/10.2166/wh.2016.262,QMRA and water safety management: review of application in drinking water systems,2016
W2245258717,https://doi.org/10.2166/wh.2015.187,Evaluation of potential human health risk and investigation of drinking water quality in Isparta city center (Turkey),2015
W2077044945,https://doi.org/10.2166/wh.2006.048,Assessment of the chemical quality of drinking water in Cambodia,2006
W2284719094,https://doi.org/10.2166/wh.2015.194,An evaluation of the readability of drinking water quality reports: a national assessment,2015
W2948687261,https://doi.org/10.2166/wh.2019.004,"Drinking water quality and risk for human health in Pelengana commune, Segou, Mali",2019
W262485354,https://doi.org/10.2166/wh.2015.275,Incidence of waterborne lead in private drinking water systems in Virginia,2015
W1994811258,https://doi.org/10.2166/wh.2009.040,The association of drinking water quality and sewage disposal with Helicobacter pylori incidence in infants: the potential role of water-borne transmission,2009
W4229051497,https://doi.org/10.2166/wh.2022.065,"Estimating global water, sanitation, and hygiene levels and related risks on human health, using global indicators data from 1990 to 2020",2022
W2885613826,https://doi.org/10.2166/wh.2007.004b,Prevalence of bacterial pathogens in biofilms of drinking water distribution systems,2007
W2154490764,https://doi.org/10.2166/wh.2011.135,Removal of estrogens and estrogenicity through drinking water treatment,2011
W2803557196,https://doi.org/10.2166/wh.2018.009,Access to drinking water: time matters,2018
W2108612916,https://doi.org/10.2166/wh.2006.0004,Quantitative microbial risk assessment to estimate health risks attributable to water supply: Can the technique be applied in developing countries with limited data?,2006
W3092357762,https://doi.org/10.2166/wh.2020.085,"Water, sanitation, and hygiene (WASH) factors associated with growth between birth and 1 year of age in children in Soweto, South Africa: results from the Soweto Baby WASH study",2020
W2770983528,https://doi.org/10.2166/wh.2017.175,A systematic literature review of the enabling environment elements to improve implementation of water safety plans in high-income countries,2017
W2954343258,https://doi.org/10.2166/wh.2019.216,Estimated burden of disease from arsenic in drinking water supplied by domestic wells in the United States,2019
W4390704381,https://doi.org/10.2166/wh.2024.324,"Assessment of current water, sanitation, and hygiene (WASH) practices in the third and ninth districts of N'Djamena, Chad",2024
