source_id,venue,decision,issn_l,publisher,is_oa,is_in_doaj,opf_covered,opf_n_pathways,top_matched,top_data_transparency,top_data_citation,n_plos_osi,n_osi_comparator,n_aaas,own_scrape,any_behavioral,layers_covered,residual_for_35
S100045985,American Journal of Tropical Medicine and Hygiene,filtered_slice_conditional,0002-9637,American Society of Tropical Medicine and Hygiene,FALSE,FALSE,TRUE,4,FALSE,NA,NA,0,69,0,FALSE,TRUE,2,FALSE
S201530359,Environmental Pollution,filtered_slice_conditional,0269-7491,Elsevier BV,FALSE,FALSE,TRUE,7,TRUE,0,1,0,0,0,FALSE,FALSE,2,TRUE
S149937609,Chemical Engineering Journal,filtered_slice_conditional,1385-8947,Elsevier BV,FALSE,FALSE,TRUE,7,FALSE,NA,NA,0,0,0,FALSE,FALSE,1,TRUE
S119469986,Journal of Membrane Science,filtered_slice_conditional,0376-7388,Elsevier BV,FALSE,FALSE,TRUE,7,FALSE,NA,NA,0,0,0,FALSE,FALSE,1,TRUE
S58516903,Journal of Cleaner Production,filtered_slice_conditional,0959-6526,Elsevier BV,FALSE,FALSE,TRUE,7,TRUE,0,1,0,0,0,FALSE,FALSE,2,TRUE
S2484704948,Frontiers in Microbiology,filtered_slice_conditional,1664-302X,Frontiers Media,TRUE,TRUE,TRUE,2,FALSE,NA,NA,0,0,0,FALSE,FALSE,1,TRUE
S168522863,Cancer Research,filtered_slice_conditional,0008-5472,American Association for Cancer Research,FALSE,FALSE,TRUE,5,TRUE,0,0,0,0,0,FALSE,FALSE,2,TRUE
S200071133,Blood,filtered_slice_conditional,0006-4971,Elsevier BV,FALSE,FALSE,TRUE,5,FALSE,NA,NA,0,0,0,FALSE,FALSE,1,TRUE
S134307298,Applied Catalysis B: Environmental,filtered_slice_conditional,0926-3373,Elsevier BV,FALSE,FALSE,TRUE,7,TRUE,2,1,0,0,0,FALSE,FALSE,2,TRUE
S72684844,Journal of Animal Science,filtered_slice_conditional,0021-8812,Oxford University Press,FALSE,FALSE,TRUE,6,TRUE,0,0,0,0,0,FALSE,FALSE,2,TRUE
S47215897,Antimicrobial Agents and Chemotherapy,filtered_slice_conditional,0066-4804,American Society for Microbiology,FALSE,FALSE,TRUE,4,TRUE,2,1,0,0,0,FALSE,FALSE,2,TRUE
S2738498342,EFSA Journal,filtered_slice_conditional,1831-4732,Wiley,TRUE,TRUE,TRUE,1,FALSE,NA,NA,0,0,0,FALSE,FALSE,1,TRUE
S25293849,The FASEB Journal,filtered_slice_conditional,0892-6638,Wiley,FALSE,FALSE,TRUE,3,FALSE,NA,NA,0,14,0,FALSE,TRUE,2,FALSE
S10134376,Sustainability,filtered_slice_conditional,2071-1050,Multidisciplinary Digital Publishing Institute,TRUE,FALSE,TRUE,2,TRUE,1,1,0,0,0,FALSE,FALSE,2,TRUE
S202381698,PLoS ONE,filtered_slice_conditional,1932-6203,Public Library of Science,TRUE,TRUE,TRUE,3,TRUE,2,1,127182,0,0,FALSE,TRUE,3,FALSE
S196734849,Scientific Reports,filtered_slice_conditional,2045-2322,Nature Portfolio,TRUE,TRUE,TRUE,2,TRUE,1,1,0,4036,0,FALSE,TRUE,3,FALSE
S15137598,Journal of Clinical Oncology,filtered_slice_conditional,0732-183X,Lippincott Williams & Wilkins,FALSE,FALSE,TRUE,5,FALSE,NA,NA,0,0,0,FALSE,FALSE,1,TRUE
