rank,author_id,author_name,matched_works,total_works,matched_share,cited_by_count,orcid,flag_low_share,retained
175,A5050410655,Robert Bergquist,121,293,0.4129692832764505,8626,https://orcid.org/0000-0002-0190-1084,FALSE,TRUE
176,A5128325680,Daniel Rosehill,121,7793,0.015526754779930707,10,NA,TRUE,FALSE
177,A5128778162,Chatterbox TTS,121,7781,0.015550700424110012,10,NA,TRUE,FALSE
178,A5055045706,Gautam Borthakur,120,1687,0.07113218731475993,38008,https://orcid.org/0000-0001-7679-6453,TRUE,FALSE
179,A5085128991,Alicja Mortensen,120,870,0.13793103448275862,13899,https://orcid.org/0000-0001-6992-7750,FALSE,TRUE
180,A5032181031,Yoshihide Wada,119,638,0.1865203761755486,55551,https://orcid.org/0000-0003-4770-2539,FALSE,TRUE
181,A5103374792,Guibai Li,118,313,0.3769968051118211,17142,NA,FALSE,TRUE
182,A5109061581,G. Balakrish Nair,118,380,0.3105263157894737,22477,https://orcid.org/0000-0003-3667-7024,FALSE,TRUE
183,A5001523912,Yujie Feng,117,832,0.140625,31874,https://orcid.org/0000-0002-0686-3937,FALSE,TRUE
184,A5019740923,Beate I. Escher,117,516,0.22674418604651161,31321,https://orcid.org/0000-0002-5304-706X,FALSE,TRUE
185,A5020273708,Raghavan Srinivasan,117,622,0.18810289389067525,44252,https://orcid.org/0000-0001-8375-6038,FALSE,TRUE
186,A5026090581,Wolfgang Rauch,117,501,0.23353293413173654,15692,https://orcid.org/0000-0002-6462-2832,FALSE,TRUE
187,A5057827514,Ahmad Zaharin Aris,117,430,0.27209302325581397,14439,https://orcid.org/0000-0002-4827-0750,FALSE,TRUE
188,A5023880060,Mira Petrović,116,427,0.2716627634660422,31319,https://orcid.org/0000-0001-9734-1933,FALSE,TRUE
189,A5028517088,Shadi W. Hasan,116,326,0.3558282208588957,13415,https://orcid.org/0000-0002-7269-094X,FALSE,TRUE
190,A5037481164,Patrice Nordmann,116,971,0.11946446961894953,85091,https://orcid.org/0000-0002-1343-1622,FALSE,TRUE
191,A5045446419,Anastasios Zouboulis,116,409,0.28361858190709044,16077,https://orcid.org/0000-0003-1120-3105,FALSE,TRUE
192,A5083906163,Joan B. Rose,116,403,0.2878411910669975,28294,https://orcid.org/0000-0002-5871-0211,FALSE,TRUE
193,A5006094854,Vincenzo Belgiorno,115,408,0.2818627450980392,11121,https://orcid.org/0000-0003-1379-0091,FALSE,TRUE
194,A5029170230,Thomas A. Ternes,115,371,0.30997304582210244,53953,https://orcid.org/0000-0002-2615-7925,FALSE,TRUE
195,A5048669599,Andreas H. Farnleitner,115,244,0.4713114754098361,7458,https://orcid.org/0000-0002-0542-5425,FALSE,TRUE
196,A5050481392,Faizal Bux,115,390,0.2948717948717949,18813,https://orcid.org/0000-0002-8108-0238,FALSE,TRUE
197,A5065809873,Peter Goethals,115,583,0.19725557461406518,11945,https://orcid.org/0000-0003-1168-6776,FALSE,TRUE
198,A5072236360,Karl G. Linden,115,339,0.3392330383480826,21697,https://orcid.org/0000-0003-4301-7227,FALSE,TRUE
199,A5006292900,Ana Deletić,114,381,0.2992125984251969,18714,https://orcid.org/0000-0002-3535-7451,FALSE,TRUE
200,A5046583307,Benoît Barbeau,114,216,0.5277777777777778,9043,https://orcid.org/0000-0002-4108-8155,FALSE,TRUE
