source,doi,das_in_paper_support,openalex_type,title_front_matter,trivially_true
washdev,NA,no supplement,NA,FALSE,FALSE
washdev,10.2166/washdev.2021.091,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2021.069,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2021.242,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2021.057,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2021.045,no supplement,article,FALSE,FALSE
washdev,NA,no supplement,NA,FALSE,FALSE
washdev,10.2166/washdev.2021.234,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2021.028,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2021.075,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2021.090,unstructured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2021.092,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2021.115,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2021.070,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2021.101,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2021.130,unstructured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2021.120,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2021.118,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2021.117,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2021.079,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2021.099,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2021.134,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2021.260,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2021.083,no supplement,article,FALSE,FALSE
washdev,NA,structured supplement,NA,FALSE,FALSE
washdev,NA,structured supplement,NA,FALSE,FALSE
washdev,10.2166/washdev.2021.193,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.136,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.152,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.157,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.165,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.003,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.084,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.176,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.178,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.183,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.202,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.203,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.206,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.002,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.124,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.196,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.016,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.222,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.034,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.038,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.166,structured supplement,article,FALSE,FALSE
washdev,NA,no supplement,NA,FALSE,FALSE
washdev,NA,no supplement,NA,FALSE,FALSE
washdev,10.2166/washdev.2022.061,structured supplement,article,FALSE,FALSE
washdev,NA,structured supplement,NA,FALSE,FALSE
washdev,10.2166/washdev.2022.068,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.076,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.115,structured supplement,article,FALSE,FALSE
washdev,NA,no supplement,NA,FALSE,FALSE
washdev,10.2166/washdev.2022.060,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.071,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.098,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.023,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.040,structured supplement,review,FALSE,TRUE
washdev,10.2166/washdev.2022.041,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.049,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.089,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.120,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.126,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.243,no supplement,article,FALSE,FALSE
washdev,NA,no supplement,NA,FALSE,FALSE
washdev,10.2166/washdev.2022.149,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.154,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.123,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.306,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.226,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.020,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2022.054,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.153,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.197,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.203,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.164,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.165,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.168,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.209,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.252,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.157,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.158,unstructured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.221,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.229,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.241,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.244,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.257,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.258,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.184,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.230,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.248,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.010,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.029,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.042,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.066,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.192,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.055,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.246,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.249,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.009,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.028,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.049,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.081,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.134,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.183,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.019,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.041,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.053,no supplement,article,FALSE,FALSE
washdev,NA,no supplement,NA,FALSE,FALSE
washdev,10.2166/washdev.2023.136,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.142,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.191,structured supplement,article,FALSE,FALSE
washdev,NA,no supplement,NA,FALSE,FALSE
