das_in_paper_support,openalex_type,n
no supplement,article,1832
no supplement,NA,16
no supplement,review,9
structured supplement,article,661
structured supplement,review,18
structured supplement,NA,9
unstructured supplement,article,52
unstructured supplement,review,2
