paperid,doi
30044,10.2166/washdev.2014.105
30045,10.2166/washdev.2014.051
30046,10.2166/washdev.2014.122
30047,10.2166/washdev.2014.145
30049,10.2166/washdev.2014.073
30050,10.2166/washdev.2013.240
30051,10.2166/washdev.2014.138
30052,10.2166/washdev.2014.136
30053,10.2166/washdev.2014.118
30054,10.2166/washdev.2014.088
30055,10.2166/washdev.2013.011
30056,10.2166/washdev.2014.113
30057,10.2166/washdev.2014.129
30058,10.2166/washdev.2014.150
30059,10.2166/washdev.2014.137
30060,10.2166/washdev.2014.159
30061,10.2166/washdev.2014.038
30063,10.2166/washdev.2014.026
30064,10.2166/washdev.2014.027
30065,10.2166/washdev.2014.018
30066,10.2166/washdev.2014.040
30067,10.2166/washdev.2014.102
30068,10.2166/washdev.2014.042
30069,10.2166/washdev.2014.021
30070,10.2166/washdev.2014.024
30071,10.2166/washdev.2014.028
30072,10.2166/washdev.2014.058
30073,10.2166/washdev.2014.020
30074,10.2166/washdev.2014.141
30075,10.2166/washdev.2014.127
30076,10.2166/washdev.2014.072
30078,10.2166/washdev.2014.106
30079,10.2166/washdev.2014.043
30080,10.2166/washdev.2014.120
30081,10.2166/washdev.2014.065
30082,10.2166/washdev.2014.151
30083,10.2166/washdev.2014.002
30084,10.2166/washdev.2014.002
30378,10.2166/washdev.2014.184
30379,10.2166/washdev.2014.076
30381,10.2166/washdev.2014.057
30382,10.2166/washdev.2014.121
30384,10.2166/washdev.2014.070
30386,10.2166/washdev.2014.009
30387,10.2166/washdev.2014.036
30388,10.2166/washdev.2014.115
30389,10.2166/washdev.2014.213
30392,10.2166/washdev.2014.181
30393,10.2166/washdev.2014.029
30395,10.2166/washdev.2014.082
30396,10.2166/washdev.2014.078
30398,10.2166/washdev.2014.110
30400,10.2166/washdev.2014.205
30402,10.2166/washdev.2014.188
30404,10.2166/washdev.2014.219
30407,10.2166/washdev.2014.098
30409,10.2166/washdev.2014.079
30085,10.2166/washdev.2015.089
30087,10.2166/washdev.2015.133
30090,10.2166/washdev.2014.052
30091,10.2166/washdev.2015.096
30093,10.2166/washdev.2015.120
30094,10.2166/washdev.2015.206
30098,10.2166/washdev.2014.214
30099,10.2166/washdev.2015.104
30100,10.2166/washdev.2015.150
30103,10.2166/washdev.2015.123
30107,10.2166/washdev.2015.134
30108,10.2166/washdev.2015.135
30109,10.2166/washdev.2014.202
30111,10.2166/washdev.2015.007
30114,10.2166/washdev.2015.151
30116,10.2166/washdev.2015.100
30119,10.2166/washdev.2015.178
30120,10.2166/washdev.2015.159
30380,10.2166/washdev.2015.180
30383,10.2166/washdev.2015.119
30385,10.2166/washdev.2015.172
30390,10.2166/washdev.2015.103
30391,10.2166/washdev.2015.169
30394,10.2166/washdev.2015.158
30397,10.2166/washdev.2015.175
30399,10.2166/washdev.2015.149
30401,10.2166/washdev.2015.155
30403,10.2166/washdev.2015.017
30405,10.2166/washdev.2015.116
30406,10.2166/washdev.2015.014
30408,10.2166/washdev.2015.141
30410,10.2166/washdev.2015.101
30411,10.2166/washdev.2015.010
30412,10.2166/washdev.2015.128
30414,10.2166/washdev.2015.067
30418,10.2166/washdev.2015.026
30420,10.2166/washdev.2015.176
30422,10.2166/washdev.2015.025
30097,10.2166/washdev.2015.005
30101,10.2166/washdev.2015.174
30102,10.2166/washdev.2015.029
30104,10.2166/washdev.2015.184
30105,10.2166/washdev.2015.009
30106,10.2166/washdev.2015.053
30110,10.2166/washdev.2015.057
30112,10.2166/washdev.2015.167
30113,10.2166/washdev.2015.099
30115,10.2166/washdev.2015.013
30117,10.2166/washdev.2015.002
30118,10.2166/washdev.2015.022
30413,10.2166/washdev.2016.071
30415,10.2166/washdev.2016.033
30416,10.2166/washdev.2016.038
30417,10.2166/washdev.2016.027
30419,10.2166/washdev.2016.121
30421,10.2166/washdev.2016.188
30423,10.2166/washdev.2016.036
30424,10.2166/washdev.2016.081
30427,10.2166/washdev.2016.043
30428,10.2166/washdev.2016.103
30430,10.2166/washdev.2015.233
30431,10.2166/washdev.2016.134
30433,10.2166/washdev.2016.064
30434,10.2166/washdev.2016.108
30436,10.2166/washdev.2015.115
30438,10.2166/washdev.2016.128
30439,10.2166/washdev.2016.102
30442,10.2166/washdev.2016.155
30443,10.2166/washdev.2016.105
30121,10.2166/washdev.2016.037
30122,10.2166/washdev.2016.006
30124,10.2166/washdev.2016.122
30125,10.2166/washdev.2016.172
30127,10.2166/washdev.2016.184
30129,10.2166/washdev.2016.171
30131,10.2166/washdev.2016.014
30132,10.2166/washdev.2016.151
30133,10.2166/washdev.2016.111
30134,10.2166/washdev.2016.090
30136,10.2166/washdev.2016.045
30139,10.2166/washdev.2016.148
30142,10.2166/washdev.2016.118
30149,10.2166/washdev.2016.009
30151,10.2166/washdev.2016.004
30153,10.2166/washdev.2016.047
30155,10.2166/washdev.2016.019
30156,10.2166/washdev.2016.901
30123,10.2166/washdev.2016.053
30126,10.2166/washdev.2016.136
30128,10.2166/washdev.2016.013
30130,10.2166/washdev.2016.141
30135,10.2166/washdev.2016.093
30137,10.2166/washdev.2016.031
30138,10.2166/washdev.2016.021
30140,10.2166/washdev.2016.023
30141,10.2166/washdev.2016.034
30143,10.2166/washdev.2016.186
30144,10.2166/washdev.2016.049
30145,10.2166/washdev.2016.017
30146,10.2166/washdev.2016.160
30147,10.2166/washdev.2016.176
30148,10.2166/washdev.2016.050
30150,10.2166/washdev.2016.040
30152,10.2166/washdev.2016.042
30425,10.2166/washdev.2016.016
30426,10.2166/washdev.2016.157
30429,10.2166/washdev.2016.123
30432,10.2166/washdev.2016.147
30435,10.2166/washdev.2016.177
30437,10.2166/washdev.2016.082
30440,10.2166/washdev.2016.024
30441,10.2166/washdev.2016.092
30444,10.2166/washdev.2016.070
30445,10.2166/washdev.2016.068
30447,10.2166/washdev.2016.190
30448,10.2166/washdev.2016.074
30449,10.2166/washdev.2016.208
30451,10.2166/washdev.2016.131
30453,10.2166/washdev.2016.078
30446,10.2166/washdev.2017.027
30450,10.2166/washdev.2017.080
30452,10.2166/washdev.2017.086
30459,10.2166/washdev.2017.099
30467,10.2166/washdev.2017.035
30482,10.2166/washdev.2017.140
30488,10.2166/washdev.2017.156
30494,10.2166/washdev.2017.106
30500,10.2166/washdev.2017.085
30513,10.2166/washdev.2017.132
30518,10.2166/washdev.2017.079
30525,10.2166/washdev.2017.073
30526,10.2166/washdev.2017.101
30542,10.2166/washdev.2017.159
30544,10.2166/washdev.2017.096
30548,10.2166/washdev.2017.094
30154,10.2166/washdev.2017.178
30170,10.2166/washdev.2017.134
30193,10.2166/washdev.2017.240
30206,10.2166/washdev.2017.130
30222,10.2166/washdev.2017.171
30234,10.2166/washdev.2017.089
30236,10.2166/washdev.2017.112
30237,10.2166/washdev.2017.123
30238,10.2166/washdev.2017.143
30239,10.2166/washdev.2017.029
30240,10.2166/washdev.2017.128
30242,10.2166/washdev.2017.126
30243,10.2166/washdev.2017.127
30245,10.2166/washdev.2017.136
30248,10.2166/washdev.2017.256
31612,10.2166/washdev.2017.023
31613,10.2166/washdev.2017.021
31614,10.2166/washdev.2017.155
31615,10.2166/washdev.2017.142
31616,10.2166/washdev.2017.117
31617,10.2166/washdev.2017.116
31618,10.2166/washdev.2017.188
31619,10.2166/washdev.2017.118
31620,10.2166/washdev.2017.009
31621,10.2166/washdev.2017.111
31622,10.2166/washdev.2017.141
31623,10.2166/washdev.2017.163
31624,10.2166/washdev.2017.005
31625,10.2166/washdev.2017.158
31626,10.2166/washdev.2017.258
31627,10.2166/washdev.2017.003
31628,10.2166/washdev.2017.098
31629,10.2166/washdev.2017.038
31630,10.2166/washdev.2017.107
31631,10.2166/washdev.2017.007
38055,10.2166/washdev.2017.022
38050,10.2166/washdev.2017.053
38049,10.2166/washdev.2017.227
38051,10.2166/washdev.2017.020
38047,10.2166/washdev.2017.054
38059,10.2166/washdev.2017.026
38053,10.2166/washdev.2017.167
38054,10.2166/washdev.2017.191
38056,10.2166/washdev.2017.046
38058,10.2166/washdev.2017.055
38048,10.2166/washdev.2017.011
38052,10.2166/washdev.2017.135
38057,10.2166/washdev.2017.010
38061,10.2166/washdev.2017.048
38064,10.2166/washdev.2017.138
38063,10.2166/washdev.2017.103
38071,10.2166/washdev.2017.084
38060,10.2166/washdev.2017.095
38065,10.2166/washdev.2017.032
38062,10.2166/washdev.2017.129
38066,10.2166/washdev.2017.019
38068,10.2166/washdev.2017.064
38070,10.2166/washdev.2017.179
38069,10.2166/washdev.2017.186
38072,10.2166/washdev.2017.092
38067,10.2166/washdev.2017.102
39045,10.2166/washdev.2018.176
39044,10.2166/washdev.2018.174
39036,10.2166/washdev.2018.101
39027,10.2166/washdev.2017.058
39053,10.2166/washdev.2018.167
39033,10.2166/washdev.2018.088
39026,10.2166/washdev.2017.056
39028,10.2166/washdev.2017.071
39038,10.2166/washdev.2018.125
39032,10.2166/washdev.2018.085
39043,10.2166/washdev.2018.160
39034,10.2166/washdev.2018.094
39039,10.2166/washdev.2018.127
39031,10.2166/washdev.2018.072
39040,10.2166/washdev.2018.140
39035,10.2166/washdev.2018.098
39037,10.2166/washdev.2018.121
39051,10.2166/washdev.2018.163
39050,10.2166/washdev.2018.162
39015,10.2166/washdev.2018.002
39018,10.2166/washdev.2018.080
41301,10.2166/washdev.2018.274
39041,10.2166/washdev.2018.147
39347,10.2166/washdev.2018.104
39052,10.2166/washdev.2018.166
39054,10.2166/washdev.2018.169
39020,10.2166/washdev.2018.172
40826,10.2166/washdev.2018.262
39047,10.2166/washdev.2018.173
39048,10.2166/washdev.2018.175
41220,10.2166/washdev.2018.001
39029,10.2166/washdev.2018.005
39030,10.2166/washdev.2018.006
39016,10.2166/washdev.2018.010
39017,10.2166/washdev.2018.020
40790,10.2166/washdev.2018.026
39772,10.2166/washdev.2018.041
39019,10.2166/washdev.2018.159
39042,10.2166/washdev.2018.148
41425,10.2166/washdev.2018.031
40924,10.2166/washdev.2018.177
41573,10.2166/washdev.2018.149
63287,10.2166/washdev.2018.025
39014,10.2166/washdev.2017.049
41271,10.2166/washdev.2018.038
41221,10.2166/washdev.2018.087
62855,10.2166/washdev.2018.029
63652,10.2166/washdev.2018.021
63812,10.2166/washdev.2018.046
64331,10.2166/washdev.2018.185
63653,10.2166/washdev.2018.009
64190,10.2166/washdev.2018.011
63697,10.2166/washdev.2018.015
64304,10.2166/washdev.2018.047
64305,10.2166/washdev.2018.049
64491,10.2166/washdev.2018.056
64417,10.2166/washdev.2018.111
41370,10.2166/washdev.2018.019
41533,10.2166/washdev.2018.276
41532,10.2166/washdev.2018.016
62800,10.2166/washdev.2018.032
63305,10.2166/washdev.2018.034
64359,10.2166/washdev.2018.004
65058,10.2166/washdev.2018.285
65389,10.2166/washdev.2019.088
65081,10.2166/washdev.2018.051
64605,10.2166/washdev.2018.272
65044,10.2166/washdev.2018.077
65390,10.2166/washdev.2019.100
65779,10.2166/washdev.2019.109
65309,10.2166/washdev.2018.210
65308,10.2166/washdev.2018.052
65056,10.2166/washdev.2018.082
65352,10.2166/washdev.2018.107
65138,10.2166/washdev.2018.102
65094,10.2166/washdev.2018.113
65468,10.2166/washdev.2019.074
64608,10.2166/washdev.2018.076
65469,10.2166/washdev.2019.117
64762,10.2166/washdev.2018.122
65470,10.2166/washdev.2019.130
64604,10.2166/washdev.2018.110
65057,10.2166/washdev.2018.096
66378,10.2166/washdev.2019.086
66715,10.2166/washdev.2019.180
66755,10.2166/washdev.2019.184
65991,10.2166/washdev.2019.170
65846,10.2166/washdev.2019.030
65948,10.2166/washdev.2019.040
66476,10.2166/washdev.2019.089
65989,10.2166/washdev.2019.095
66450,10.2166/washdev.2019.099
65990,10.2166/washdev.2019.112
66610,10.2166/washdev.2019.133
66603,10.2166/washdev.2019.147
66175,10.2166/washdev.2019.151
66056,10.2166/washdev.2019.153
66731,10.2166/washdev.2019.158
66057,10.2166/washdev.2019.159
66760,10.2166/washdev.2019.014
66055,10.2166/washdev.2019.098
65934,10.2166/washdev.2019.090
66588,10.2166/washdev.2019.168
67971,10.2166/washdev.2019.031
67927,10.2166/washdev.2019.131
67784,10.2166/washdev.2019.154
67544,10.2166/washdev.2019.178
66609,10.2166/washdev.2019.048
67180,10.2166/washdev.2019.069
67545,10.2166/washdev.2019.179
67251,10.2166/washdev.2019.187
66785,10.2166/washdev.2019.137
67158,10.2166/washdev.2019.134
66754,10.2166/washdev.2019.165
68671,10.2166/washdev.2019.196
67620,10.2166/washdev.2019.198
68687,10.2166/washdev.2019.005
68122,10.2166/washdev.2019.174
67156,10.2166/washdev.2019.010
67353,10.2166/washdev.2019.025
66732,10.2166/washdev.2019.161
67157,10.2166/washdev.2019.106
