paperid,first_author_affiliation,correspondence_author_affiliation
10.1371/journal.pwat.0000498,"Department of Sociology, Michigan State University, East Lansing, Michigan, United States of America,","Department of Sociology, Michigan State University, East Lansing, Michigan, United States of America,"
10.1371/journal.pwat.0000486,"British Geological Survey, The Lyell Centre, Edinburgh, United Kingdom of Great Britian and Northern Ireland","British Geological Survey, The Lyell Centre, Edinburgh, United Kingdom of Great Britian and Northern Ireland"
10.1371/journal.pwat.0000497,"RTI International, Research Triangle Park, North Carolina, United States of America,","RTI International, Research Triangle Park, North Carolina, United States of America,"
10.1371/journal.pwat.0000062,"LOEWE Centre for Translational Biodiversity Genomics, Senckenberg Biodiversity and Climate Research Centre, Frankfurt, Germany","Department of Environmental and Biological Sciences, University of Eastern Finland, Kuopio, Suomi-Finland"
10.1371/journal.pwat.0000092,"Department of Soil and Water Systems, University of Idaho, Moscow, Idaho","Department of Soil and Water Systems, University of Idaho, Moscow, Idaho"
10.1371/journal.pwat.0000240,"GNS Science, Lower Hutt, Aotearoa New Zealand","School of Science in Society, Victoria University of Wellington, Wellington, Aotearoa New Zealand"
10.1371/journal.pwat.0000372,"Network for Engineering with Nature, Athens, GeorgiaUnited States of America","Network for Engineering with Nature, Athens, GeorgiaUnited States of America"
10.1371/journal.pwat.0000308,"Odum School of Ecology, University of Georgia, Athens, GeorgiaUnited States of America","Odum School of Ecology, University of Georgia, Athens, GeorgiaUnited States of America"
